Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
Mahipal Lomror,RR,Indian,4,1,28,11,14,24,116.66,0,0,3,0,1,0,18,27,0,0/0,,9,,0,0
Manan Vohra,RR,Indian,49,2,1012,95,23.53,768,131.77,0,3,97,39,13,0,0,0,0,0/0,,,,0,0
Mayank Markande,RR,Indian,17,5,27,7*,9,29,93.1,0,0,3,0,3,0,300,427,16,Apr-23,26.68,8.54,18.75,1,0
Rahul Tewatia,RR,Indian,20,6,111,24,18.5,89,124.71,0,0,11,3,8,0,296,354,14,Mar-18,25.28,7.17,21.14,0,0
Riyan Parag,RR,Indian,7,0,160,50,32,126,126.98,0,1,17,5,5,0,84,121,2,01-Oct,60.5,8.64,42,0,0
Sanju Samson,RR,Indian,93,9,2209,102*,27.61,"1,696",130.24,2,10,170,89,43,4,0,0,0,0/0,,,,0,0
Shashank Singh,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Shreyas Gopal,RR,Indian,31,5,127,24,14.11,118,107.62,0,0,14,1,9,0,589,737,38,Apr-16,19.39,7.5,15.5,1,0
Varun Aaron,RR,Indian,47,7,49,17*,12.25,62,79.03,0,0,2,2,3,0,916,"1,335",42,Mar-16,31.78,8.74,21.8,0,0
Robin Uthappa,RR,Indian,177,17,4411,87,28.83,"3,380",130.5,0,24,435,156,84,32,0,0,0,0/0,,,,0,0
Jaydev Unadkat,RR,Indian,73,11,55,26,9.16,54,101.85,0,0,6,1,23,0,"1,506","2,192",77,May-25,28.46,8.73,19.55,0,2
Yashasvi Jaiswal,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Anuj Rawat,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Akash Singh,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Kartik Tyagi,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
David Miller,RR,South African,79,23,1850,101*,34.25,"1,333",138.78,1,9,126,87,49,0,0,0,0,0/0,,,,0,0
Oshane Thomas,RR,West Indian,4,0,0,0*,-,0,-,0,0,0,0,1,0,60,79,5,02-Jun,15.8,7.9,12,0,0
Anirudha Joshi,RR,Indian,,,,,,,,,,,,,,,,,,,,,,
Andrew Tye,RR,Australian,26,4,85,25,10.62,70,121.42,0,0,6,4,7,0,594,822,39,May-17,21.07,8.3,15.23,3,1
Tom Curran,RR,English,5,1,23,18,7.66,28,82.14,0,0,3,0,1,0,61,118,6,Feb-19,19.66,11.6,10.16,0,0
David Warner (c),SRH,Australian,126,17,4706,126,43.17,"3,305",142.39,4,44,458,181,54,0,0,0,0,,,,,0,0
Rashid Khan,SRH,Afghan,46,6,104,34*,8.66,63,165.07,0,0,5,9,15,0,"1,092","1,193",55,Mar-19,21.69,6.55,19.85,0,0
Sanjay Yadav,SRH,Indian,,,,,,,,,,,,,,,,,,,,,,
Wriddhiman Saha,SRH,Indian,120,21,1765,115*,23.85,"1,346",131.12,1,6,160,59,60,19,0,0,0,,,,,0,0
Khaleel Ahmed,SRH,Indian,10,0,0,0*,0,1,0,0,0,0,0,0,0,227,325,19,Mar-30,17.1,8.59,11.94,0,0
Sandeep Sharma,SRH,Indian,79,15,32,7,10.66,42,76.19,0,0,2,0,11,0,"1,745","2,272",95,Apr-20,23.91,7.81,18.36,2,0
Abdul Samad,SRH,Indian,,,,,,,,,,,,,,,,,,,,,,
Mitchell Marsh,SRH,Australian,20,2,225,38,18.75,196,114.79,0,0,9,14,7,0,315,414,20,Apr-25,20.7,7.88,15.75,1,0
Shreevats Goswami,SRH,Indian,29,1,293,52,16.27,291,100.68,0,1,32,3,16,7,0,0,0,,,,,0,0
Mohammad Nabi,SRH,Afghan,13,1,135,31,15,91,148.35,0,0,11,7,6,0,271,299,11,04-Nov,27.18,6.61,24.63,1,0
Fabian Allen,SRH,West Indian,,,,,,,,,,,,,,,,,,,,,,
Abhishek Sharma,SRH,Indian,6,3,72,46*,24,42,171.42,0,0,4,5,2,0,12,21,1,01-Oct,21,10.5,12,0,0
Basil Thampi,SRH,Indian,19,7,32,13*,32,35,91.42,0,0,1,1,4,0,401,648,16,Mar-29,40.5,9.69,25.06,0,0
Billy Stanlake,SRH,Australian,6,1,5,5*,,2,250,0,0,1,0,1,0,144,200,7,Feb-21,28.57,8.33,20.57,0,0
Sandeep Bavanaka,SRH,Indian,,,,,,,,,,,,,,,,,,,,,,
Bhuvneshwar Kumar,SRH,Indian,117,19,183,24*,7.62,192,95.31,0,0,17,3,27,0,"2,612","3,154",133,May-19,23.71,7.24,19.63,2,1
Virat Singh,SRH,Indian,,,,,,,,,,,,,,,,,,,,,,
T Natarajan,SRH,Indian,6,0,0,0*,,0,,0,0,0,0,0,0,76,115,2,Jan-26,57.5,9.07,38,0,0
Kane Williamson,SRH,New Zealander,41,7,1302,89,38.29,964,135.06,0,12,111,44,16,0,6,7,0,,,7,,0,0
Shahbaz Nadeem,SRH,Indian,64,7,32,6*,2.66,78,41.02,0,0,1,0,14,0,"1,259","1,570",42,Mar-16,37.38,7.48,29.97,0,0
Jonny Bairstow,SRH,English,10,2,445,114,55.62,283,157.24,1,2,48,18,9,2,0,0,0,,,,,0,0
Manish Pandey,SRH,Indian,130,23,2843,114*,29.3,"2,353",120.82,1,15,253,75,64,0,0,0,0,,,,,0,0
Vijay Shankar,SRH,Indian,33,11,557,63*,30.94,416,133.89,0,2,34,24,17,0,84,147,2,01-Nov,73.5,10.5,42,0,0
Siddarth Kaul,SRH,Indian,45,6,12,7*,3,28,42.85,0,0,0,0,7,0,981,"1,385",49,Apr-29,28.26,8.47,20.02,1,0
Priyam Garg,SRH,Indian,,,,,,,,,,,,,,,,,,,,,,
